timestamp,location_id,pm2_5,pm10,no2,o3,temperature,humidity,wind_speed,latitude,longitude,aqi_pm2_5,aqi_pm10,aqi,aqi_category,processed_at
2024-01-01 00:00:00,LOC_003,28.417559757771595,54.52611934098197,28.15679428635386,30.205393065496423,13.137208642449156,84.24681962877031,0.8615764705493478,40.94356521715698,-74.38114742152376,80.0,35.0,80.0,Moderate,2025-07-20 15:51:24.512606
2024-01-01 01:00:00,LOC_004,43.761708392158866,58.42266795090279,22.606134845853564,40.93771675563577,5.673287102603473,39.391752804944474,3.040913683115453,40.041880393838774,-74.48505002889576,124.0,38.0,124.0,Unhealthy for Sensitive Groups,2025-07-20 15:51:24.512606
2024-01-01 02:00:00,LOC_001,34.5042383818605,35.4800622359865,37.12158728899829,50.33963349397533,21.45836470215384,51.99826200578739,4.653206559001619,40.503068322632025,-73.60998109885124,97.0,23.0,97.0,Moderate,2025-07-20 15:51:24.512606
2024-01-01 03:00:00,LOC_003,19.23096344337597,23.69873194480725,38.281994677790024,41.668724783841014,25.852994365163383,67.14728400280177,5.886068684889091,40.58422478883172,-74.25504649163405,54.0,15.0,54.0,Moderate,2025-07-20 15:51:24.512606
2024-01-01 04:00:00,LOC_003,16.01585328651642,41.89958214408675,15.23049710209525,21.076042213708035,25.148835960763723,39.56369308628413,2.4149934603630143,40.920196986074274,-73.77030037255328,45.0,27.0,45.0,Good,2025-07-20 15:51:24.512606
2024-01-01 05:00:00,LOC_004,29.919191715065057,24.834269453718406,22.563913118460718,30.366106672589893,28.199252526352343,88.08133032274432,10.166572458446053,40.04915852362143,-73.68898462506793,85.0,16.0,85.0,Moderate,2025-07-20 15:51:24.512606
2024-01-01 06:00:00,LOC_001,11.797667929793578,65.20080871289935,18.027765959279368,39.11232563686746,23.243402100148682,84.88495972365962,4.200343697052891,40.57349958493521,-73.64101360896788,33.0,42.0,42.0,Good,2025-07-20 15:51:24.512606
2024-01-01 07:00:00,LOC_001,43.31458765854354,37.04802996624106,24.799808524744815,39.092012748090035,14.672745017830966,40.01701074206815,2.8946995891431317,40.85362992852796,-73.50840576433583,122.0,24.0,122.0,Unhealthy for Sensitive Groups,2025-07-20 15:51:24.512606
2024-01-01 08:00:00,LOC_003,36.79440120721287,29.52017673031837,29.332496241677113,63.6705061214777,28.39663864431189,37.26932767565913,0.3480401285563678,40.24192772811924,-74.20596028996,104.0,19.0,104.0,Unhealthy for Sensitive Groups,2025-07-20 15:51:24.512606
2024-01-01 09:00:00,LOC_002,20.308243478952953,37.77020458797362,18.40283824241176,23.368144691212024,6.424824601580649,35.12450896849592,3.124541338296626,40.87629234852394,-73.78975665807275,57.0,25.0,57.0,Moderate,2025-07-20 15:51:24.512606
2024-01-01 10:00:00,LOC_003,7.868654709091224,14.793105657054554,22.625121494997494,46.067070902030494,10.993286174875198,84.56661984219787,8.59447405678475,40.01904340927429,-74.38460014171918,22.0,10.0,22.0,Good,2025-07-20 15:51:24.512606
2024-01-01 11:00:00,LOC_003,38.538723741654124,20.425789422340227,21.96834102334801,57.86935729993947,10.357999285767553,41.617428587727645,4.766602471446215,40.73245462913373,-74.09319070864315,109.0,13.0,109.0,Unhealthy for Sensitive Groups,2025-07-20 15:51:24.512606
